Part;Value;Device;Package;Description;Mouser;Digikey;Reichelt;OC_NEWARK
BAT;;PINHD-1X2;1X02;PIN HEADER;;;;
C1;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
C2;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
C3;1u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
C4;10u;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
C5;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
C6;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
C7;100n;C-EUC0603;C0603;CAPACITOR, European symbol;;;;
IC1;ATTINY84A;TINY24/44/84-SSU;SOIC14;;556-ATTINY84A-SSU;ATTINY84A-SSU-ND;;
IC2;IC2;LTC3525;SC70-6;;;LTC3525ESC6-3.3#TRMPBFCT-ND;;
IC3;SI7021;SI7021;DFN-6;;Si7021-A10-GM1;SI7021-A10-GM1R;;
IC4;BMP180;BMP180;LGA-7;;262-BMP180;;;
L1;10µH;L-EUL1616;L1616;INDUCTOR, European symbol;;;L-1616FPS 10µ;
R1;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;
R2;4k7;R-EU_R0603;R0603;RESISTOR, European symbol;;;;
R3;4k7;R-EU_R0603;R0603;RESISTOR, European symbol;;;;
R4;10k;R-EU_R0603;R0603;RESISTOR, European symbol;;;;
SV2;;ML6E;ML6;HARTING;;;WSL 6G;unknown
U$1;KEYSTONE-92-AA-BATTERY-HOLDER;KEYSTONE-92-AA-BATTERY-HOLDER;KEYSTONE-92-AA-BATTERY;;;92K-ND;;
U$2;KEYSTONE-92-AA-BATTERY-HOLDER;KEYSTONE-92-AA-BATTERY-HOLDER;KEYSTONE-92-AA-BATTERY;;;92K-ND;;
U$3;FRM12;FRM12;RFM12;;http://rf-store.com/index.php?s_phr=rfm12&pv=search&view=2;;;
